month,state,soil type,seed type,weather condition,irrigation,fertilizer usage,pesticide usage,corn price(INR/kg),quality
August,Sikkim,Alluvial soil,Open-pollinated,Hot and humid,Yes,267,40,29,Discolored
March,Mizoram,Black soil,Hybrid,Hot and humid,Yes,360,41,27,Silkcut
July,Sikkim,Alluvial soil,Hybrid,Warm and dry,Yes,293,104,41,Discolored
May,Uttar Pradesh,Red soil,Hybrid,Hot and humid,Yes,178,41,42,Discolored
May,Mizoram,Red soil,Open-pollinated,Warm and dry,Yes,243,122,22,Silkcut
April,Jharkhand,Alluvial soil,Open-pollinated,Warm and dry,Yes,180,40,43,Broken
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,21,Pure
September,Meghalaya,Peaty soil,Hybrid,Warm and dry,Yes,287,71,44,Pure
December,Assam,Black soil,Hybrid,Warm and dry,Yes,295,32,43,Pure
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,150,31,25,Silkcut
August,Meghalaya,Sandy loam,Hybrid,Hot and humid,No,120,108,27,Pure
August,Mizoram,Red soil,Hybrid,Hot and dry,Yes,179,130,28,Silkcut
August,Assam,Alluvial soil,Hybrid,Warm and dry,Yes,347,126,27,Silkcut
September,Nagaland,Black soil,Hybrid,Hot and dry,Yes,179,30,37,Silkcut
September,Nagaland,Alluvial soil,Hybrid,Hot and dry,Yes,122,20,43,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,283,20,21,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,151,31,21,Silkcut
March,West Bengal,Laterite soil,Open-pollinated,Hot and humid,Yes,289,40,26,Broken
February,Haryana,Alluvial soil,Open-pollinated,Warm and dry,Yes,148,30,21,Silkcut
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,180,130,27,Silkcut
August,Meghalaya,Black soil,Hybrid,Warm and dry,Yes,298,41,29,Discolored
February,Haryana,Alluvial soil,Open-pollinated,Warm and dry,Yes,290,31,28,Silkcut
March,Bihar,Alluvial soil,Hybrid,Cold and dry,Yes,252,51,29,Broken
September,Mizoram,Red soil,Open-pollinated,Cold and dry,Yes,295,31,47,Discolored
July,Jharkhand,Sandy soil,Hybrid,Cold and dry,Yes,182,40,37,Silkcut
September,Assam,Clay soil,Hybrid,Hot and dry,Yes,282,127,40,Discolored
March,Uttar Pradesh,Black soil,Open-pollinated,Hot and humid,Yes,298,39,28,Broken
March,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,179,30,21,Broken
December,Uttar Pradesh,Peaty soil,Hybrid,Hot and dry,Yes,179,50,43,Pure
October,Uttar Pradesh,Red soil,Hybrid,Hot and humid,Yes,267,81,39,Broken
March,Uttar Pradesh,Sandy loam,Hybrid,Hot and dry,Yes,120,41,43,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,32,29,Silkcut
February,Uttar Pradesh,Clay loam,Open-pollinated,Warm and dry,Yes,199,30,20,Silkcut
April,Haryana,Laterite soil,Open-pollinated,Warm and dry,No,150,30,26,Silkcut
May,Jharkhand,Peaty soil,Open-pollinated,Hot and humid,Yes,274,41,39,Silkcut
August,Sikkim,Sandy soil,Open-pollinated,Monsoon,Yes,260,71,42,Discolored
January,Punjab,Black soil,Hybrid,Hot and dry,Yes,120,39,29,Pure
February,Sikkim,Alluvial soil,Open-pollinated,Hot and humid,Yes,294,105,44,Pure
May,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,179,41,25,Broken
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,150,30,28,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,31,21,Silkcut
October,Jharkhand,Laterite soil,Hybrid,Cold and dry,Yes,271,39,44,Broken
December,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,220,125,29,Broken
January,Assam,Laterite soil,Hybrid,Hot and dry,No,289,20,21,Pure
February,Sikkim,Clay soil,Open-pollinated,Cold and dry,Yes,349,72,44,Discolored
March,Meghalaya,Black soil,Hybrid,Hot and dry,Yes,281,126,25,Broken
March,Uttar Pradesh,Black soil,Hybrid,Hot and dry,Yes,270,40,20,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,30,28,Silkcut
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,282,126,21,Pure
December,Sikkim,Laterite soil,Hybrid,Hot and humid,Yes,300,71,26,Discolored
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,122,21,21,Pure
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,20,27,Pure
May,Nagaland,Sandy soil,Hybrid,Hot and humid,Yes,345,70,43,Pure
February,Haryana,Clay loam,Open-pollinated,Cold and dry,Yes,148,31,45,Silkcut
August,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,31,21,Silkcut
August,Jharkhand,Clay soil,Hybrid,Monsoon,Yes,296,104,43,Discolored
January,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,120,21,21,Pure
August,Meghalaya,Black soil,Hybrid,Hot and dry,Yes,349,20,42,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,275,32,21,Silkcut
August,Sikkim,Red soil,Open-pollinated,Cold and dry,Yes,287,128,27,Discolored
February,Meghalaya,Black soil,Open-pollinated,Warm and dry,Yes,178,40,29,Discolored
March,Sikkim,Alluvial soil,Hybrid,Hot and humid,Yes,180,123,29,Pure
October,Assam,Sandy loam,Hybrid,Monsoon,Yes,288,105,44,Discolored
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,146,71,41,Silkcut
January,Jharkhand,Sandy loam,Hybrid,Warm and dry,Yes,306,129,39,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,177,30,30,Silkcut
March,Jharkhand,Red soil,Hybrid,Cold and dry,Yes,297,103,44,Broken
March,West Bengal,Black soil,Hybrid,Hot and humid,Yes,342,41,31,Broken
April,Sikkim,Clay soil,Open-pollinated,Monsoon,Yes,292,101,43,Silkcut
April,Jharkhand,Red soil,Open-pollinated,Warm and dry,Yes,289,130,41,Silkcut
September,Meghalaya,Red soil,Hybrid,Monsoon,Yes,240,124,36,Pure
September,Nagaland,Black soil,Hybrid,Cold and dry,Yes,287,40,38,Broken
July,Sikkim,Sandy soil,Hybrid,Monsoon,Yes,353,124,42,Pure
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,120,20,20,Pure
January,Mizoram,Red soil,Hybrid,Hot and dry,No,218,81,29,Pure
October,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,297,71,40,Discolored
June,Sikkim,Sandy soil,Open-pollinated,Monsoon,Yes,270,31,29,Pure
February,Haryana,Clay soil,Open-pollinated,Warm and dry,Yes,292,62,40,Silkcut
March,Sikkim,Sandy soil,Hybrid,Cold and dry,Yes,268,70,41,Discolored
October,Sikkim,Clay soil,Hybrid,Monsoon,Yes,248,107,20,Discolored
December,Assam,Black soil,Hybrid,Hot and humid,Yes,282,41,46,Silkcut
December,Haryana,Alluvial soil,Open-pollinated,Warm and dry,Yes,121,125,40,Silkcut
May,Mizoram,Red soil,Hybrid,Monsoon,Yes,356,49,30,Pure
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,21,Pure
February,Meghalaya,Black soil,Open-pollinated,Warm and dry,Yes,279,30,33,Silkcut
January,Jharkhand,Sandy loam,Hybrid,Hot and humid,No,120,20,26,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,31,21,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,21,Pure
October,Jharkhand,Red soil,Hybrid,Hot and humid,Yes,281,41,28,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,31,29,Silkcut
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,262,21,20,Pure
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,147,31,21,Silkcut
March,Nagaland,Black soil,Hybrid,Hot and humid,Yes,345,81,25,Broken
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,149,31,42,Silkcut
April,Bihar,Black soil,Hybrid,Warm and dry,Yes,289,30,31,Broken
September,Mizoram,Clay soil,Hybrid,Hot and dry,Yes,253,41,28,Silkcut
October,West Bengal,Alluvial soil,Open-pollinated,Warm and dry,Yes,151,71,38,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,281,30,46,Silkcut
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,180,41,25,Broken
November,Bihar,Red soil,Open-pollinated,Monsoon,Yes,292,104,26,Discolored
March,Mizoram,Sandy soil,Hybrid,Monsoon,Yes,283,81,39,Discolored
March,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,121,22,21,Pure
November,Punjab,Black soil,Hybrid,Hot and dry,Yes,278,128,40,Pure
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,20,Pure
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,149,30,25,Silkcut
May,Mizoram,Sandy loam,Hybrid,Monsoon,Yes,291,130,28,Pure
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,148,30,32,Silkcut
April,Uttar Pradesh,Black soil,Hybrid,Hot and humid,No,201,105,31,Pure
December,Meghalaya,Red soil,Open-pollinated,Monsoon,Yes,259,129,39,Discolored
August,Meghalaya,Laterite soil,Open-pollinated,Warm and dry,Yes,285,70,42,Pure
July,Jharkhand,Sandy soil,Hybrid,Warm and dry,Yes,285,41,32,Pure
August,Sikkim,Laterite soil,Hybrid,Monsoon,Yes,294,105,44,Discolored
February,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,179,40,43,Broken
March,Mizoram,Alluvial soil,Hybrid,Hot and humid,Yes,304,30,22,Silkcut
January,Punjab,Alluvial soil,Hybrid,Hot and dry,No,121,20,24,Pure
November,Meghalaya,Laterite soil,Open-pollinated,Hot and dry,Yes,299,30,41,Discolored
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,24,Pure
August,Sikkim,Red soil,Open-pollinated,Monsoon,Yes,302,91,29,Discolored
September,Sikkim,Black soil,Hybrid,Hot and humid,No,179,124,38,Pure
January,Punjab,Clay soil,Hybrid,Hot and dry,Yes,267,105,20,Pure
October,Tripura,Black soil,Open-pollinated,Hot and humid,Yes,220,81,37,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,255,31,22,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and humid,Yes,301,130,38,Pure
May,Mizoram,Alluvial soil,Hybrid,Hot and humid,Yes,302,104,27,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,296,129,25,Broken
February,Haryana,Laterite soil,Open-pollinated,Hot and humid,Yes,276,40,43,Silkcut
January,Punjab,Alluvial soil,Hybrid,Warm and dry,No,283,69,24,Pure
August,Meghalaya,Red soil,Open-pollinated,Warm and dry,Yes,289,127,29,Silkcut
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,199,39,25,Broken
April,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,151,31,28,Silkcut
December,Jharkhand,Peaty soil,Hybrid,Warm and dry,Yes,179,106,26,Silkcut
August,Meghalaya,Laterite soil,Open-pollinated,Warm and dry,Yes,349,130,42,Discolored
December,West Bengal,Peaty soil,Hybrid,Monsoon,Yes,296,128,45,Pure
January,Sikkim,Sandy soil,Hybrid,Hot and dry,No,120,21,21,Pure
August,Sikkim,Clay soil,Hybrid,Monsoon,Yes,274,91,44,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,283,71,28,Silkcut
January,Punjab,Black soil,Hybrid,Hot and dry,No,120,20,20,Pure
October,Nagaland,Red soil,Hybrid,Warm and dry,Yes,241,126,43,Pure
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,122,20,27,Pure
November,Nagaland,Laterite soil,Open-pollinated,Hot and humid,Yes,299,70,28,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,30,29,Silkcut
March,Bihar,Black soil,Hybrid,Hot and humid,Yes,297,108,25,Silkcut
August,Meghalaya,Black soil,Hybrid,Hot and humid,Yes,179,40,46,Silkcut
January,Jharkhand,Clay loam,Open-pollinated,Hot and dry,No,151,21,21,Pure
February,Mizoram,Alluvial soil,Hybrid,Warm and dry,Yes,351,70,29,Broken
August,Sikkim,Laterite soil,Open-pollinated,Cold and dry,Yes,180,40,41,Discolored
April,Mizoram,Laterite soil,Hybrid,Hot and humid,Yes,279,125,41,Discolored
August,Meghalaya,Clay soil,Hybrid,Hot and dry,Yes,269,71,25,Silkcut
December,Meghalaya,Red soil,Hybrid,Hot and dry,Yes,276,69,39,Discolored
November,Jharkhand,Red soil,Hybrid,Warm and dry,Yes,263,30,26,Broken
April,Sikkim,Peaty soil,Hybrid,Warm and dry,Yes,179,105,43,Discolored
January,Haryana,Sandy loam,Hybrid,Hot and dry,No,277,21,21,Pure
January,Jharkhand,Clay soil,Hybrid,Hot and humid,No,120,21,27,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,147,29,41,Silkcut
June,Jharkhand,Sandy soil,Hybrid,Monsoon,Yes,120,126,21,Discolored
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,180,40,43,Broken
December,Jharkhand,Red soil,Open-pollinated,Monsoon,Yes,270,89,40,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,30,29,Silkcut
March,Uttar Pradesh,Black soil,Open-pollinated,Hot and humid,Yes,149,41,21,Silkcut
March,Assam,Black soil,Hybrid,Hot and humid,Yes,179,40,39,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,31,21,Silkcut
March,Assam,Red soil,Open-pollinated,Cold and dry,Yes,281,124,30,Broken
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,276,127,21,Pure
March,Punjab,Black soil,Hybrid,Hot and humid,Yes,278,41,21,Pure
April,Sikkim,Red soil,Open-pollinated,Cold and dry,Yes,283,122,43,Discolored
March,Assam,Black soil,Hybrid,Warm and dry,Yes,248,40,28,Broken
September,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,120,50,40,Discolored
March,Jharkhand,Black soil,Hybrid,Cold and dry,Yes,285,89,43,Discolored
March,Haryana,Black soil,Hybrid,Hot and humid,Yes,120,41,21,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,293,30,40,Silkcut
December,Tripura,Sandy soil,Hybrid,Monsoon,Yes,291,127,42,Discolored
March,Uttar Pradesh,Black soil,Open-pollinated,Warm and dry,Yes,179,40,30,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,30,27,Silkcut
October,Bihar,Laterite soil,Open-pollinated,Hot and humid,Yes,288,52,28,Discolored
February,Haryana,Sandy soil,Open-pollinated,Warm and dry,Yes,150,29,38,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,31,26,Silkcut
March,Punjab,Clay soil,Hybrid,Warm and dry,Yes,353,40,26,Silkcut
December,Jharkhand,Red soil,Hybrid,Cold and dry,Yes,278,121,29,Broken
May,Jharkhand,Laterite soil,Hybrid,Cold and dry,Yes,352,40,43,Silkcut
December,Sikkim,Black soil,Hybrid,Hot and humid,Yes,121,128,46,Broken
August,Sikkim,Black soil,Hybrid,Warm and dry,No,178,20,35,Discolored
November,Mizoram,Red soil,Hybrid,Cold and dry,Yes,299,31,46,Broken
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,288,31,24,Silkcut
February,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,292,70,21,Discolored
March,Mizoram,Red soil,Hybrid,Hot and humid,Yes,179,30,44,Silkcut
August,Meghalaya,Red soil,Open-pollinated,Monsoon,Yes,295,127,45,Pure
May,Bihar,Laterite soil,Open-pollinated,Warm and dry,Yes,179,103,40,Silkcut
February,Bihar,Laterite soil,Hybrid,Warm and dry,Yes,124,31,21,Silkcut
February,Mizoram,Black soil,Open-pollinated,Monsoon,Yes,356,40,41,Silkcut
January,Assam,Sandy loam,Hybrid,Hot and dry,Yes,272,22,20,Pure
September,Mizoram,Black soil,Hybrid,Hot and humid,Yes,290,20,21,Broken
February,Mizoram,Clay loam,Open-pollinated,Warm and dry,Yes,151,32,25,Silkcut
December,Sikkim,Black soil,Hybrid,Monsoon,Yes,283,82,45,Discolored
May,Sikkim,Red soil,Open-pollinated,Warm and dry,Yes,290,31,45,Silkcut
December,Sikkim,Clay soil,Open-pollinated,Warm and dry,Yes,287,130,34,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,285,103,26,Silkcut
October,Mizoram,Peaty soil,Hybrid,Hot and humid,Yes,345,40,25,Broken
December,Jharkhand,Black soil,Open-pollinated,Warm and dry,Yes,255,40,21,Silkcut
December,Meghalaya,Clay loam,Hybrid,Hot and humid,Yes,269,126,46,Silkcut
December,Meghalaya,Red soil,Open-pollinated,Hot and humid,Yes,284,125,44,Discolored
January,Mizoram,Sandy loam,Hybrid,Hot and humid,Yes,219,21,25,Pure
March,Mizoram,Black soil,Hybrid,Warm and dry,Yes,180,40,38,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,121,20,41,Pure
September,Nagaland,Red soil,Hybrid,Hot and dry,Yes,120,123,44,Pure
August,Meghalaya,Red soil,Open-pollinated,Cold and dry,Yes,342,128,41,Discolored
March,Punjab,Sandy soil,Hybrid,Monsoon,No,120,79,29,Pure
February,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,148,31,21,Silkcut
February,Haryana,Laterite soil,Open-pollinated,Hot and humid,Yes,150,31,42,Silkcut
March,Bihar,Clay loam,Hybrid,Warm and dry,Yes,179,70,41,Silkcut
May,Jharkhand,Black soil,Open-pollinated,Hot and dry,Yes,308,127,27,Silkcut
April,Sikkim,Sandy soil,Open-pollinated,Hot and dry,Yes,122,125,42,Broken
March,Sikkim,Black soil,Hybrid,Hot and humid,Yes,294,40,21,Pure
September,Uttar Pradesh,Black soil,Open-pollinated,Hot and humid,Yes,150,39,40,Discolored
March,Uttar Pradesh,Clay soil,Open-pollinated,Hot and humid,Yes,271,104,30,Pure
March,West Bengal,Clay loam,Hybrid,Monsoon,Yes,198,41,29,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,122,20,21,Pure
February,Meghalaya,Clay loam,Open-pollinated,Warm and dry,Yes,149,31,26,Silkcut
October,Nagaland,Alluvial soil,Hybrid,Monsoon,Yes,263,104,26,Pure
October,West Bengal,Alluvial soil,Open-pollinated,Hot and humid,Yes,285,41,25,Pure
December,Nagaland,Red soil,Open-pollinated,Hot and humid,Yes,201,105,31,Silkcut
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,290,20,20,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,31,46,Silkcut
March,Jharkhand,Alluvial soil,Hybrid,Hot and humid,Yes,180,40,21,Broken
April,Jharkhand,Alluvial soil,Hybrid,Hot and humid,Yes,246,130,29,Broken
January,Punjab,Sandy loam,Hybrid,Monsoon,Yes,120,125,29,Pure
March,Bihar,Sandy soil,Open-pollinated,Hot and dry,No,178,40,44,Pure
December,Mizoram,Red soil,Open-pollinated,Hot and humid,Yes,285,127,42,Discolored
May,Bihar,Clay soil,Hybrid,Monsoon,Yes,179,40,40,Pure
March,Meghalaya,Black soil,Open-pollinated,Warm and dry,Yes,254,40,43,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,147,31,32,Silkcut
February,Mizoram,Black soil,Open-pollinated,Hot and humid,Yes,284,29,26,Silkcut
August,Meghalaya,Red soil,Hybrid,Monsoon,No,120,103,35,Discolored
February,Haryana,Laterite soil,Open-pollinated,Cold and dry,Yes,281,30,42,Silkcut
October,West Bengal,Black soil,Open-pollinated,Hot and humid,Yes,274,31,28,Pure
July,Sikkim,Clay soil,Hybrid,Cold and dry,Yes,293,69,39,Broken
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,29,29,Silkcut
September,Sikkim,Laterite soil,Open-pollinated,Warm and dry,Yes,282,81,42,Broken
March,Bihar,Black soil,Hybrid,Hot and humid,Yes,280,105,39,Broken
December,Mizoram,Black soil,Hybrid,Hot and humid,Yes,120,39,29,Pure
April,Jharkhand,Red soil,Open-pollinated,Warm and dry,Yes,281,70,44,Discolored
December,Sikkim,Red soil,Open-pollinated,Monsoon,Yes,303,91,42,Discolored
January,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,283,40,21,Broken
October,Haryana,Alluvial soil,Open-pollinated,Warm and dry,No,292,72,21,Silkcut
May,Meghalaya,Clay soil,Hybrid,Warm and dry,Yes,120,130,21,Pure
January,Punjab,Alluvial soil,Hybrid,Hot and dry,Yes,350,41,41,Pure
October,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,348,130,27,Silkcut
April,Haryana,Alluvial soil,Hybrid,Warm and dry,Yes,241,130,32,Silkcut
January,Sikkim,Sandy loam,Hybrid,Hot and dry,No,120,22,20,Pure
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,281,42,41,Broken
August,Mizoram,Black soil,Hybrid,Warm and dry,Yes,301,40,25,Broken
December,Mizoram,Clay soil,Hybrid,Monsoon,Yes,286,130,42,Discolored
September,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,179,40,29,Pure
October,Nagaland,Black soil,Hybrid,Warm and dry,Yes,360,31,29,Broken
April,Nagaland,Alluvial soil,Hybrid,Warm and dry,Yes,199,21,20,Pure
March,Sikkim,Sandy soil,Hybrid,Hot and dry,Yes,120,22,21,Pure
February,Mizoram,Laterite soil,Open-pollinated,Warm and dry,Yes,149,33,21,Silkcut
August,Haryana,Laterite soil,Open-pollinated,Hot and dry,Yes,298,70,20,Pure
February,Bihar,Alluvial soil,Open-pollinated,Warm and dry,No,246,129,28,Silkcut
March,Meghalaya,Alluvial soil,Hybrid,Warm and dry,Yes,282,71,28,Silkcut
September,Uttar Pradesh,Black soil,Open-pollinated,Monsoon,Yes,291,81,42,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,180,29,20,Silkcut
March,West Bengal,Black soil,Hybrid,Cold and dry,Yes,300,71,29,Silkcut
February,Mizoram,Clay loam,Open-pollinated,Hot and dry,Yes,348,30,22,Silkcut
August,Meghalaya,Black soil,Open-pollinated,Monsoon,Yes,281,21,26,Silkcut
January,Bihar,Sandy loam,Hybrid,Hot and dry,No,120,21,21,Pure
February,Haryana,Peaty soil,Open-pollinated,Cold and dry,Yes,150,68,34,Silkcut
June,Sikkim,Black soil,Open-pollinated,Monsoon,Yes,179,69,29,Discolored
August,Meghalaya,Red soil,Hybrid,Monsoon,Yes,279,126,45,Discolored
July,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,278,40,26,Silkcut
December,Sikkim,Sandy soil,Open-pollinated,Hot and humid,Yes,181,71,47,Broken
March,Sikkim,Clay soil,Open-pollinated,Hot and dry,No,281,125,29,Silkcut
January,Assam,Sandy loam,Hybrid,Hot and dry,No,120,21,25,Pure
April,Sikkim,Red soil,Open-pollinated,Warm and dry,Yes,217,125,29,Discolored
May,Jharkhand,Red soil,Hybrid,Monsoon,Yes,120,20,36,Pure
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,123,40,21,Pure
August,Assam,Red soil,Hybrid,Warm and dry,No,235,30,31,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,147,31,30,Silkcut
November,Jharkhand,Alluvial soil,Hybrid,Hot and humid,Yes,180,20,42,Pure
May,Mizoram,Black soil,Hybrid,Hot and humid,Yes,179,41,27,Broken
December,Haryana,Alluvial soil,Hybrid,Hot and humid,Yes,179,31,28,Silkcut
February,Meghalaya,Clay loam,Open-pollinated,Warm and dry,Yes,294,32,29,Silkcut
May,Jharkhand,Sandy loam,Hybrid,Warm and dry,No,244,30,21,Pure
October,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,52,44,Silkcut
April,Assam,Red soil,Hybrid,Cold and dry,Yes,351,101,41,Discolored
July,Haryana,Sandy loam,Hybrid,Hot and dry,No,287,21,25,Pure
October,Sikkim,Clay soil,Hybrid,Hot and dry,Yes,120,111,25,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,289,31,22,Silkcut
December,Tripura,Red soil,Open-pollinated,Monsoon,Yes,279,130,47,Discolored
June,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,268,105,43,Discolored
January,Punjab,Black soil,Hybrid,Hot and humid,Yes,120,20,20,Pure
July,Haryana,Clay soil,Hybrid,Warm and dry,Yes,148,29,27,Pure
March,Jharkhand,Black soil,Open-pollinated,Hot and humid,Yes,296,30,30,Silkcut
March,Jharkhand,Clay loam,Hybrid,Hot and humid,Yes,178,40,27,Silkcut
January,Punjab,Black soil,Hybrid,Cold and dry,No,120,20,21,Pure
February,Haryana,Laterite soil,Open-pollinated,Hot and humid,Yes,150,31,21,Silkcut
February,Mizoram,Clay loam,Open-pollinated,Warm and dry,Yes,287,31,21,Silkcut
March,West Bengal,Black soil,Hybrid,Hot and humid,Yes,180,41,21,Pure
February,Haryana,Laterite soil,Open-pollinated,Hot and humid,Yes,275,106,21,Discolored
